o_zone_id,d_zone_id,accessibility,distance,geometry
5,,3,,N/A,N/A,"LINESTRING (-111.92838065 33.42675425, -111.9414 33.426982100000004)"
5,,4,,N/A,N/A,"LINESTRING (-111.92838065 33.42675425, -111.9413038 33.4182829)"
5,,6,,N/A,N/A,"LINESTRING (-111.92838065 33.42675425, -111.9268 33.421724)"
5,,7,,N/A,N/A,"LINESTRING (-111.92838065 33.42675425, -111.93729125 33.413450000000005)"
5,,8,,N/A,N/A,"LINESTRING (-111.92838065 33.42675425, -111.937816 33.42150770000001)"
5,,9,,N/A,N/A,"LINESTRING (-111.92838065 33.42675425, -111.93261035 33.4184807)"
5,,10,,N/A,N/A,"LINESTRING (-111.92838065 33.42675425, -111.93158275 33.413450000000005)"
5,,11,,N/A,N/A,"LINESTRING (-111.92838065 33.42675425, -111.93757765 33.41757075)"
5,,12,,N/A,N/A,"LINESTRING (-111.92838065 33.42675425, -111.9387148 33.43225)"
5,,13,,N/A,N/A,"LINESTRING (-111.92838065 33.42675425, -111.93698955 33.426641950000004)"
5,,14,,N/A,N/A,"LINESTRING (-111.92838065 33.42675425, -111.93277995000001 33.421400500000004)"
5,,15,,N/A,N/A,"LINESTRING (-111.92838065 33.42675425, -111.92699160000001 33.413596500000004)"
5,,16,,N/A,N/A,"LINESTRING (-111.92838065 33.42675425, -111.9268972 33.4180411)"
5,,17,,N/A,N/A,"LINESTRING (-111.92838065 33.42675425, -111.93232855000001 33.4280852)"
5,,18,,N/A,N/A,"LINESTRING (-111.92838065 33.42675425, -111.93374765 33.43225)"
5,,19,,N/A,N/A,"LINESTRING (-111.92838065 33.42675425, -111.9413012 33.43225)"
6,,1,,N/A,N/A,"LINESTRING (-111.9268 33.421724, -111.92689385000001 33.4318588)"
6,,2,,N/A,N/A,"LINESTRING (-111.9268 33.421724, -111.9414 33.42342175)"
6,,3,,N/A,N/A,"LINESTRING (-111.9268 33.421724, -111.9414 33.426982100000004)"
6,,4,,N/A,N/A,"LINESTRING (-111.9268 33.421724, -111.9413038 33.4182829)"
6,,5,,N/A,N/A,"LINESTRING (-111.9268 33.421724, -111.92838065 33.42675425)"
6,,7,,N/A,N/A,"LINESTRING (-111.9268 33.421724, -111.93729125 33.413450000000005)"
6,,8,,N/A,N/A,"LINESTRING (-111.9268 33.421724, -111.937816 33.42150770000001)"
6,,9,,N/A,N/A,"LINESTRING (-111.9268 33.421724, -111.93261035 33.4184807)"
6,,10,,N/A,N/A,"LINESTRING (-111.9268 33.421724, -111.93158275 33.413450000000005)"
6,,11,,N/A,N/A,"LINESTRING (-111.9268 33.421724, -111.93757765 33.41757075)"
6,,12,,N/A,N/A,"LINESTRING (-111.9268 33.421724, -111.9387148 33.43225)"
6,,13,,N/A,N/A,"LINESTRING (-111.9268 33.421724, -111.93698955 33.426641950000004)"
6,,14,,N/A,N/A,"LINESTRING (-111.9268 33.421724, -111.93277995000001 33.421400500000004)"
6,,15,,N/A,N/A,"LINESTRING (-111.9268 33.421724, -111.92699160000001 33.413596500000004)"
6,,16,,N/A,N/A,"LINESTRING (-111.9268 33.421724, -111.9268972 33.4180411)"
6,,17,,N/A,N/A,"LINESTRING (-111.9268 33.421724, -111.93232855000001 33.4280852)"
6,,18,,N/A,N/A,"LINESTRING (-111.9268 33.421724, -111.93374765 33.43225)"
6,,19,,N/A,N/A,"LINESTRING (-111.9268 33.421724, -111.9413012 33.43225)"
