name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
East 10th Street,3487,934466641,93,32,1,17.17,1,30,1000,residential,6,"LINESTRING (-111.9398533 33.4190667, -111.9398946 33.4190669, -111.9399755 33.4190661, -111.9400380 33.4190663)",auto;bike;walk,1,0,,
East 10th Street,3488,934466641,32,93,1,17.17,1,30,1000,residential,6,"LINESTRING (-111.9400380 33.4190663, -111.9399755 33.4190661, -111.9398946 33.4190669, -111.9398533 33.4190667)",auto;bike;walk,1,0,,
West 9th Street,3489,934466644,128,848,1,16.58,1,40,1000,residential,6,"LINESTRING (-111.9398765 33.4204910, -111.9399150 33.4204911, -111.9399908 33.4204925, -111.9400548 33.4204918)",auto;bike;walk,1,0,,
West 9th Street,3490,934466644,848,128,1,16.58,1,40,1000,residential,6,"LINESTRING (-111.9400548 33.4204918, -111.9399908 33.4204925, -111.9399150 33.4204911, -111.9398765 33.4204910)",auto;bike;walk,1,0,,
East 7th Street,3491,934466645,658,129,1,9.03,1,40,1000,residential,6,"LINESTRING (-111.9400680 33.4231956, -111.9399878 33.4231953, -111.9399709 33.4231952)",auto;bike;walk,1,0,,
East 7th Street,3492,934466645,129,658,1,9.03,1,40,1000,residential,6,"LINESTRING (-111.9399709 33.4231952, -111.9399878 33.4231953, -111.9400680 33.4231956)",auto;bike;walk,1,0,,
East 6th Street,3493,934466647,8,519,1,9.48,1,40,1000,residential,6,"LINESTRING (-111.9400710 33.4243450, -111.9399858 33.4243447, -111.9399690 33.4243446)",auto;bike;walk,1,0,,
East 6th Street,3494,934466647,519,8,1,9.48,1,40,1000,residential,6,"LINESTRING (-111.9399690 33.4243446, -111.9399858 33.4243447, -111.9400710 33.4243450)",auto;bike;walk,1,0,,
South Mill Avenue,3495,934466649,25,663,1,47.35,1,48,1800,primary,3,"LINESTRING (-111.9400770 33.4264624, -111.9400785 33.4260353)",auto;bike;walk,0,0,,
South Mill Avenue,3496,934466650,686,424,1,11.78,2,48,1800,primary,3,"LINESTRING (-111.9400695 33.4274911, -111.9400670 33.4273849)",auto;bike;walk,0,0,,
West 3rd Street,3497,934466651,44,424,1,9.28,1,40,1000,residential,6,"LINESTRING (-111.9399672 33.4273845, -111.9399807 33.4273846, -111.9400670 33.4273849)",auto;bike;walk,1,0,,
West 3rd Street,3498,934466651,424,44,1,9.28,1,40,1000,residential,6,"LINESTRING (-111.9400670 33.4273849, -111.9399807 33.4273846, -111.9399672 33.4273845)",auto;bike;walk,1,0,,
South Mill Avenue,3499,934492281,569,423,1,16.77,2,60,1600,secondary,4,"LINESTRING (-111.9396045 33.4159562, -111.9395693 33.4159866, -111.9395136 33.4160496, -111.9394920 33.4160741)",auto;bike;walk,0,0,,
,3500,945328614,2160,2122,1,95.56,1,5,800,footway,10,"LINESTRING (-111.9348345 33.4145662, -111.9346271 33.4145694, -111.9345361 33.4145466, -111.9338113 33.4145697)",walk,0,0,,
,3501,945328614,2122,2009,1,79.35,1,5,800,footway,10,"LINESTRING (-111.9338113 33.4145697, -111.9334983 33.4145735, -111.9329580 33.4145828)",walk,0,0,,
,3502,945328614,2009,2161,1,9.32,1,5,800,footway,10,"LINESTRING (-111.9329580 33.4145828, -111.9328892 33.4145829, -111.9328586 33.4145767)",walk,0,0,,
,3503,945328614,2161,2162,1,19.75,1,5,800,footway,10,"LINESTRING (-111.9328586 33.4145767, -111.9328516 33.4145634, -111.9328478 33.4145406, -111.9328464 33.4144000)",walk,0,0,,
,3504,945328616,2163,2164,1,19.36,1,5,800,footway,10,"LINESTRING (-111.9327316 33.4144000, -111.9327299 33.4145492, -111.9327228 33.4145617, -111.9327141 33.4145707)",walk,0,0,,
,3505,945328616,2164,1749,1,180.31,1,5,800,footway,10,"LINESTRING (-111.9327141 33.4145707, -111.9326743 33.4145722, -111.9326407 33.4145690, -111.9308365 33.4145860, -111.9307754 33.4145909)",walk,0,0,,
