name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
,1550,544655886,1106,1105,1,20.2,1,30,800,service,8,"LINESTRING (-111.9297220 33.4259996, -111.9296954 33.4259112, -111.9296856 33.4258205)",walk;bike,1,0,,
,1551,544655886,1106,1107,1,20.26,1,30,800,service,8,"LINESTRING (-111.9297220 33.4259996, -111.9297860 33.4261743)",walk;bike,1,0,,
,1552,544655886,1107,1106,1,20.26,1,30,800,service,8,"LINESTRING (-111.9297860 33.4261743, -111.9297220 33.4259996)",walk;bike,1,0,,
,1553,544655886,1107,1108,1,21.83,1,30,800,service,8,"LINESTRING (-111.9297860 33.4261743, -111.9298885 33.4263515)",walk;bike,1,0,,
,1554,544655886,1108,1107,1,21.83,1,30,800,service,8,"LINESTRING (-111.9298885 33.4263515, -111.9297860 33.4261743)",walk;bike,1,0,,
,1555,544655886,1108,1109,1,23.93,1,30,800,service,8,"LINESTRING (-111.9298885 33.4263515, -111.9300475 33.4265213)",walk;bike,1,0,,
,1556,544655886,1109,1108,1,23.93,1,30,800,service,8,"LINESTRING (-111.9300475 33.4265213, -111.9298885 33.4263515)",walk;bike,1,0,,
,1557,544655886,1109,1110,1,26.3,1,30,800,service,8,"LINESTRING (-111.9300475 33.4265213, -111.9301562 33.4266118, -111.9302589 33.4266783)",walk;bike,1,0,,
,1558,544655886,1110,1109,1,26.3,1,30,800,service,8,"LINESTRING (-111.9302589 33.4266783, -111.9301562 33.4266118, -111.9300475 33.4265213)",walk;bike,1,0,,
,1559,544655886,1110,1111,1,32.07,1,30,800,service,8,"LINESTRING (-111.9302589 33.4266783, -111.9305310 33.4268561)",walk;bike,1,0,,
,1560,544655886,1111,1110,1,32.07,1,30,800,service,8,"LINESTRING (-111.9305310 33.4268561, -111.9302589 33.4266783)",walk;bike,1,0,,
,1561,544655886,1111,1112,1,21.13,1,30,800,service,8,"LINESTRING (-111.9305310 33.4268561, -111.9306008 33.4269260, -111.9306017 33.4270254)",walk;bike,1,0,,
,1562,544655886,1112,1111,1,21.13,1,30,800,service,8,"LINESTRING (-111.9306017 33.4270254, -111.9306008 33.4269260, -111.9305310 33.4268561)",walk;bike,1,0,,
,1563,544655886,1112,1113,1,17.53,1,30,800,service,8,"LINESTRING (-111.9306017 33.4270254, -111.9306025 33.4271145, -111.9305266 33.4271411)",walk;bike,1,0,,
,1564,544655886,1113,1112,1,17.53,1,30,800,service,8,"LINESTRING (-111.9305266 33.4271411, -111.9306025 33.4271145, -111.9306017 33.4270254)",walk;bike,1,0,,
,1565,544655886,1113,1114,1,24.13,1,30,800,service,8,"LINESTRING (-111.9305266 33.4271411, -111.9305250 33.4271472, -111.9304090 33.4273349)",walk;bike,1,0,,
,1566,544655886,1114,1113,1,24.13,1,30,800,service,8,"LINESTRING (-111.9304090 33.4273349, -111.9305250 33.4271472, -111.9305266 33.4271411)",walk;bike,1,0,,
,1567,544655886,1114,1115,1,16.74,1,30,800,service,8,"LINESTRING (-111.9304090 33.4273349, -111.9303661 33.4273985, -111.9303644 33.4274764)",walk;bike,1,0,,
,1568,544655886,1115,1114,1,16.74,1,30,800,service,8,"LINESTRING (-111.9303644 33.4274764, -111.9303661 33.4273985, -111.9304090 33.4273349)",walk;bike,1,0,,
,1569,544655886,1115,1116,1,22.09,1,30,800,service,8,"LINESTRING (-111.9303644 33.4274764, -111.9305191 33.4276276)",walk;bike,1,0,,
,1570,544655886,1116,1115,1,22.09,1,30,800,service,8,"LINESTRING (-111.9305191 33.4276276, -111.9303644 33.4274764)",walk;bike,1,0,,
,1571,544655886,1116,1117,1,23.72,1,30,800,service,8,"LINESTRING (-111.9305191 33.4276276, -111.9305903 33.4276903, -111.9306223 33.4277444, -111.9306336 33.4278107)",walk;bike,1,0,,
,1572,544655886,1117,1116,1,23.72,1,30,800,service,8,"LINESTRING (-111.9306336 33.4278107, -111.9306223 33.4277444, -111.9305903 33.4276903, -111.9305191 33.4276276)",walk;bike,1,0,,
,1573,544655886,1117,1118,1,10.12,1,30,800,service,8,"LINESTRING (-111.9306336 33.4278107, -111.9306430 33.4279016)",walk;bike,1,0,,
,1574,544655886,1118,1117,1,10.12,1,30,800,service,8,"LINESTRING (-111.9306430 33.4279016, -111.9306336 33.4278107)",walk;bike,1,0,,
,1575,544655886,1118,1119,1,7.54,1,30,800,service,8,"LINESTRING (-111.9306430 33.4279016, -111.9306431 33.4279696)",walk;bike,1,0,,
,1576,544655886,1119,1118,1,7.54,1,30,800,service,8,"LINESTRING (-111.9306431 33.4279696, -111.9306430 33.4279016)",walk;bike,1,0,,
,1577,544655886,1119,1120,1,20.07,1,30,800,service,8,"LINESTRING (-111.9306431 33.4279696, -111.9306422 33.4280856, -111.9306331 33.4281502)",walk;bike,1,0,,
,1578,544655886,1120,1119,1,20.07,1,30,800,service,8,"LINESTRING (-111.9306331 33.4281502, -111.9306422 33.4280856, -111.9306431 33.4279696)",walk;bike,1,0,,
,1579,544655886,1120,1121,1,34.97,1,30,800,service,8,"LINESTRING (-111.9306331 33.4281502, -111.9307886 33.4281591, -111.9308648 33.4281764, -111.9309821 33.4282426)",walk;bike,1,0,,
,1580,544655886,1121,1120,1,34.97,1,30,800,service,8,"LINESTRING (-111.9309821 33.4282426, -111.9308648 33.4281764, -111.9307886 33.4281591, -111.9306331 33.4281502)",walk;bike,1,0,,
,1581,544655886,1121,1122,1,20.99,1,30,800,service,8,"LINESTRING (-111.9309821 33.4282426, -111.9311724 33.4283445)",walk;bike,1,0,,
,1582,544655886,1122,1121,1,20.99,1,30,800,service,8,"LINESTRING (-111.9311724 33.4283445, -111.9309821 33.4282426)",walk;bike,1,0,,
,1583,544655886,1122,1123,1,16.64,1,30,800,service,8,"LINESTRING (-111.9311724 33.4283445, -111.9313228 33.4284259)",walk;bike,1,0,,
,1584,544655886,1123,1122,1,16.64,1,30,800,service,8,"LINESTRING (-111.9313228 33.4284259, -111.9311724 33.4283445)",walk;bike,1,0,,
,1585,544655886,1123,1124,1,7.2,1,30,800,service,8,"LINESTRING (-111.9313228 33.4284259, -111.9313871 33.4284621)",walk;bike,1,0,,
,1586,544655886,1124,1123,1,7.2,1,30,800,service,8,"LINESTRING (-111.9313871 33.4284621, -111.9313228 33.4284259)",walk;bike,1,0,,
,1587,544655886,1124,1125,1,18.31,1,30,800,service,8,"LINESTRING (-111.9313871 33.4284621, -111.9315552 33.4285482)",walk;bike,1,0,,
,1588,544655886,1125,1124,1,18.31,1,30,800,service,8,"LINESTRING (-111.9315552 33.4285482, -111.9313871 33.4284621)",walk;bike,1,0,,
,1589,544655886,1125,1126,1,19.18,1,30,800,service,8,"LINESTRING (-111.9315552 33.4285482, -111.9317563 33.4285868)",walk;bike,1,0,,
,1590,544655886,1126,1125,1,19.18,1,30,800,service,8,"LINESTRING (-111.9317563 33.4285868, -111.9315552 33.4285482)",walk;bike,1,0,,
,1591,544655886,1126,1127,1,18.72,1,30,800,service,8,"LINESTRING (-111.9317563 33.4285868, -111.9319517 33.4286276)",walk;bike,1,0,,
,1592,544655886,1127,1126,1,18.72,1,30,800,service,8,"LINESTRING (-111.9319517 33.4286276, -111.9317563 33.4285868)",walk;bike,1,0,,
,1593,544655886,1127,1128,1,19.68,1,30,800,service,8,"LINESTRING (-111.9319517 33.4286276, -111.9321571 33.4286704)",walk;bike,1,0,,
,1594,544655886,1128,1127,1,19.68,1,30,800,service,8,"LINESTRING (-111.9321571 33.4286704, -111.9319517 33.4286276)",walk;bike,1,0,,
,1595,544655886,1128,1129,1,39.27,1,30,800,service,8,"LINESTRING (-111.9321571 33.4286704, -111.9322573 33.4286907, -111.9323762 33.4286955, -111.9325761 33.4286843)",walk;bike,1,0,,
,1596,544655886,1129,1128,1,39.27,1,30,800,service,8,"LINESTRING (-111.9325761 33.4286843, -111.9323762 33.4286955, -111.9322573 33.4286907, -111.9321571 33.4286704)",walk;bike,1,0,,
,1597,544655886,1129,1130,1,10.61,1,30,800,service,8,"LINESTRING (-111.9325761 33.4286843, -111.9326900 33.4286779)",walk;bike,1,0,,
,1598,544655886,1130,1129,1,10.61,1,30,800,service,8,"LINESTRING (-111.9326900 33.4286779, -111.9325761 33.4286843)",walk;bike,1,0,,
,1599,544655886,1130,1131,1,6.89,1,30,800,service,8,"LINESTRING (-111.9326900 33.4286779, -111.9327640 33.4286738)",walk;bike,1,0,,
,1600,544655886,1131,1130,1,6.89,1,30,800,service,8,"LINESTRING (-111.9327640 33.4286738, -111.9326900 33.4286779)",walk;bike,1,0,,
,1601,544655886,1131,1132,1,19.16,1,30,800,service,8,"LINESTRING (-111.9327640 33.4286738, -111.9329697 33.4286623)",walk;bike,1,0,,
,1602,544655886,1132,1131,1,19.16,1,30,800,service,8,"LINESTRING (-111.9329697 33.4286623, -111.9327640 33.4286738)",walk;bike,1,0,,
,1603,544655886,1132,1133,1,18.27,1,30,800,service,8,"LINESTRING (-111.9329697 33.4286623, -111.9331658 33.4286514)",walk;bike,1,0,,
,1604,544655886,1133,1132,1,18.27,1,30,800,service,8,"LINESTRING (-111.9331658 33.4286514, -111.9329697 33.4286623)",walk;bike,1,0,,
,1605,544655886,1133,1134,1,17.98,1,30,800,service,8,"LINESTRING (-111.9331658 33.4286514, -111.9333590 33.4286431)",walk;bike,1,0,,
,1606,544655886,1134,1133,1,17.98,1,30,800,service,8,"LINESTRING (-111.9333590 33.4286431, -111.9331658 33.4286514)",walk;bike,1,0,,
,1607,544655886,1134,1135,1,32.5,1,30,800,service,8,"LINESTRING (-111.9333590 33.4286431, -111.9334130 33.4285119, -111.9335363 33.4283973)",walk;bike,1,0,,
,1608,544655886,1135,1134,1,32.5,1,30,800,service,8,"LINESTRING (-111.9335363 33.4283973, -111.9334130 33.4285119, -111.9333590 33.4286431)",walk;bike,1,0,,
,1609,544655886,1135,1136,1,20.44,1,30,800,service,8,"LINESTRING (-111.9335363 33.4283973, -111.9335975 33.4283196, -111.9336107 33.4282290)",walk;bike,1,0,,
,1610,544655886,1136,1135,1,20.44,1,30,800,service,8,"LINESTRING (-111.9336107 33.4282290, -111.9335975 33.4283196, -111.9335363 33.4283973)",walk;bike,1,0,,
,1611,544655886,1136,1137,1,16.88,1,30,800,service,8,"LINESTRING (-111.9336107 33.4282290, -111.9336219 33.4281183, -111.9336397 33.4280799)",walk;bike,1,0,,
,1612,544655886,1137,1136,1,16.88,1,30,800,service,8,"LINESTRING (-111.9336397 33.4280799, -111.9336219 33.4281183, -111.9336107 33.4282290)",walk;bike,1,0,,
,1613,544655886,1137,1138,1,7.14,1,30,800,service,8,"LINESTRING (-111.9336397 33.4280799, -111.9337163 33.4280758)",walk;bike,1,0,,
,1614,544655886,1138,1137,1,7.14,1,30,800,service,8,"LINESTRING (-111.9337163 33.4280758, -111.9336397 33.4280799)",walk;bike,1,0,,
,1615,544655886,1138,1139,1,13.28,1,30,800,service,8,"LINESTRING (-111.9337163 33.4280758, -111.9338061 33.4281690)",walk;bike,1,0,,
,1616,544655886,1139,1138,1,13.28,1,30,800,service,8,"LINESTRING (-111.9338061 33.4281690, -111.9337163 33.4280758)",walk;bike,1,0,,
,1617,544655886,1139,1140,1,58.88,1,30,800,service,8,"LINESTRING (-111.9338061 33.4281690, -111.9339290 33.4282655, -111.9341512 33.4286080)",walk;bike,1,0,,
,1618,544655886,1140,1139,1,58.88,1,30,800,service,8,"LINESTRING (-111.9341512 33.4286080, -111.9339290 33.4282655, -111.9338061 33.4281690)",walk;bike,1,0,,
,1619,544655886,1140,502,1,80.44,1,30,800,service,8,"LINESTRING (-111.9341512 33.4286080, -111.9342673 33.4287887, -111.9342823 33.4291168, -111.9341659 33.4292821)",walk;bike,1,0,,
,1620,544655886,502,1140,1,80.44,1,30,800,service,8,"LINESTRING (-111.9341659 33.4292821, -111.9342823 33.4291168, -111.9342673 33.4287887, -111.9341512 33.4286080)",walk;bike,1,0,,
,1621,544655887,171,1141,1,16.86,1,30,800,service,8,"LINESTRING (-111.9293917 33.4249528, -111.9293915 33.4251049)",walk;bike,1,0,,
,1622,544655887,1141,171,1,16.86,1,30,800,service,8,"LINESTRING (-111.9293915 33.4251049, -111.9293917 33.4249528)",walk;bike,1,0,,
,1623,544655887,1141,1142,1,19.65,1,30,800,service,8,"LINESTRING (-111.9293915 33.4251049, -111.9293963 33.4252821)",walk;bike,1,0,,
,1624,544655887,1142,1141,1,19.65,1,30,800,service,8,"LINESTRING (-111.9293963 33.4252821, -111.9293915 33.4251049)",walk;bike,1,0,,
,1625,544655887,1142,1143,1,2.05,1,30,800,service,8,"LINESTRING (-111.9293963 33.4252821, -111.9293962 33.4253006)",walk;bike,1,0,,
,1626,544655887,1143,1142,1,2.05,1,30,800,service,8,"LINESTRING (-111.9293962 33.4253006, -111.9293963 33.4252821)",walk;bike,1,0,,
,1627,544655887,1143,1144,1,18.99,1,30,800,service,8,"LINESTRING (-111.9293962 33.4253006, -111.9294013 33.4254718)",walk;bike,1,0,,
,1628,544655887,1144,1143,1,18.99,1,30,800,service,8,"LINESTRING (-111.9294013 33.4254718, -111.9293962 33.4253006)",walk;bike,1,0,,
,1629,544655887,1144,1145,1,19.36,1,30,800,service,8,"LINESTRING (-111.9294013 33.4254718, -111.9294052 33.4256464)",walk;bike,1,0,,
,1630,544655887,1145,1144,1,19.36,1,30,800,service,8,"LINESTRING (-111.9294052 33.4256464, -111.9294013 33.4254718)",walk;bike,1,0,,
,1631,544655887,1145,1146,1,19.4,1,30,800,service,8,"LINESTRING (-111.9294052 33.4256464, -111.9294006 33.4258213)",walk;bike,1,0,,
,1632,544655887,1146,1145,1,19.4,1,30,800,service,8,"LINESTRING (-111.9294006 33.4258213, -111.9294052 33.4256464)",walk;bike,1,0,,
,1633,544655887,1146,1147,1,20.37,1,30,800,service,8,"LINESTRING (-111.9294006 33.4258213, -111.9294079 33.4260049)",walk;bike,1,0,,
,1634,544655887,1147,1146,1,20.37,1,30,800,service,8,"LINESTRING (-111.9294079 33.4260049, -111.9294006 33.4258213)",walk;bike,1,0,,
,1635,544655887,1147,1148,1,19.39,1,30,800,service,8,"LINESTRING (-111.9294079 33.4260049, -111.9294137 33.4261797)",walk;bike,1,0,,
,1636,544655887,1148,1147,1,19.39,1,30,800,service,8,"LINESTRING (-111.9294137 33.4261797, -111.9294079 33.4260049)",walk;bike,1,0,,
,1637,544655887,1148,1149,1,19.6,1,30,800,service,8,"LINESTRING (-111.9294137 33.4261797, -111.9294160 33.4263565)",walk;bike,1,0,,
,1638,544655887,1149,1148,1,19.6,1,30,800,service,8,"LINESTRING (-111.9294160 33.4263565, -111.9294137 33.4261797)",walk;bike,1,0,,
,1639,544655887,1149,1150,1,19.65,1,30,800,service,8,"LINESTRING (-111.9294160 33.4263565, -111.9294200 33.4265337)",walk;bike,1,0,,
,1640,544655887,1150,1149,1,19.65,1,30,800,service,8,"LINESTRING (-111.9294200 33.4265337, -111.9294160 33.4263565)",walk;bike,1,0,,
,1641,544655887,1150,1151,1,22.02,1,30,800,service,8,"LINESTRING (-111.9294200 33.4265337, -111.9294218 33.4266794, -111.9294400 33.4266929, -111.9294785 33.4266972)",walk;bike,1,0,,
,1642,544655887,1151,1150,1,22.02,1,30,800,service,8,"LINESTRING (-111.9294785 33.4266972, -111.9294400 33.4266929, -111.9294218 33.4266794, -111.9294200 33.4265337)",walk;bike,1,0,,
,1643,544655887,1151,1152,1,3.51,1,30,800,service,8,"LINESTRING (-111.9294785 33.4266972, -111.9294784 33.4267289)",walk;bike,1,0,,
,1644,544655887,1152,1151,1,3.51,1,30,800,service,8,"LINESTRING (-111.9294784 33.4267289, -111.9294785 33.4266972)",walk;bike,1,0,,
,1645,544655887,1152,1153,1,15.46,1,30,800,service,8,"LINESTRING (-111.9294784 33.4267289, -111.9294809 33.4268683)",walk;bike,1,0,,
,1646,544655887,1153,1152,1,15.46,1,30,800,service,8,"LINESTRING (-111.9294809 33.4268683, -111.9294784 33.4267289)",walk;bike,1,0,,
,1647,544655887,1153,1154,1,18.28,1,30,800,service,8,"LINESTRING (-111.9294809 33.4268683, -111.9294834 33.4270332)",walk;bike,1,0,,
,1648,544655887,1154,1153,1,18.28,1,30,800,service,8,"LINESTRING (-111.9294834 33.4270332, -111.9294809 33.4268683)",walk;bike,1,0,,
,1649,544655887,1154,1155,1,13.05,1,30,800,service,8,"LINESTRING (-111.9294834 33.4270332, -111.9294846 33.4271509)",walk;bike,1,0,,
,1650,544655887,1155,1154,1,13.05,1,30,800,service,8,"LINESTRING (-111.9294846 33.4271509, -111.9294834 33.4270332)",walk;bike,1,0,,
,1651,544655887,1155,1113,1,96.87,1,30,800,service,8,"LINESTRING (-111.9294846 33.4271509, -111.9305266 33.4271411)",walk;bike,1,0,,
,1652,544655887,1113,1155,1,96.87,1,30,800,service,8,"LINESTRING (-111.9305266 33.4271411, -111.9294846 33.4271509)",walk;bike,1,0,,
,1653,544655889,1151,1110,1,72.68,1,30,800,service,8,"LINESTRING (-111.9294785 33.4266972, -111.9302133 33.4266876, -111.9302589 33.4266783)",walk;bike,1,0,,
,1654,544655889,1110,1151,1,72.68,1,30,800,service,8,"LINESTRING (-111.9302589 33.4266783, -111.9302133 33.4266876, -111.9294785 33.4266972)",walk;bike,1,0,,
,1655,544655890,1112,1154,1,103.96,1,30,800,service,8,"LINESTRING (-111.9306017 33.4270254, -111.9294834 33.4270332)",walk;bike,1,0,,
,1656,544655890,1154,1112,1,103.96,1,30,800,service,8,"LINESTRING (-111.9294834 33.4270332, -111.9306017 33.4270254)",walk;bike,1,0,,
,1657,544655891,1111,1153,1,97.63,1,30,800,service,8,"LINESTRING (-111.9305310 33.4268561, -111.9294809 33.4268683)",walk;bike,1,0,,
,1658,544655891,1153,1111,1,97.63,1,30,800,service,8,"LINESTRING (-111.9294809 33.4268683, -111.9305310 33.4268561)",walk;bike,1,0,,
,1659,544655892,1109,1150,1,58.4,1,30,800,service,8,"LINESTRING (-111.9300475 33.4265213, -111.9299751 33.4265293, -111.9294200 33.4265337)",walk;bike,1,0,,
,1660,544655892,1150,1109,1,58.4,1,30,800,service,8,"LINESTRING (-111.9294200 33.4265337, -111.9299751 33.4265293, -111.9300475 33.4265213)",walk;bike,1,0,,
,1661,544655893,1108,1149,1,43.95,1,30,800,service,8,"LINESTRING (-111.9298885 33.4263515, -111.9298326 33.4263560, -111.9294160 33.4263565)",walk;bike,1,0,,
,1662,544655893,1149,1108,1,43.95,1,30,800,service,8,"LINESTRING (-111.9294160 33.4263565, -111.9298326 33.4263560, -111.9298885 33.4263515)",walk;bike,1,0,,
,1663,544655894,1107,1148,1,34.62,1,30,800,service,8,"LINESTRING (-111.9297860 33.4261743, -111.9294137 33.4261797)",walk;bike,1,0,,
,1664,544655894,1148,1107,1,34.62,1,30,800,service,8,"LINESTRING (-111.9294137 33.4261797, -111.9297860 33.4261743)",walk;bike,1,0,,
,1665,544655895,1106,1147,1,29.21,1,30,800,service,8,"LINESTRING (-111.9297220 33.4259996, -111.9294079 33.4260049)",walk;bike,1,0,,
,1666,544655895,1147,1106,1,29.21,1,30,800,service,8,"LINESTRING (-111.9294079 33.4260049, -111.9297220 33.4259996)",walk;bike,1,0,,
,1667,544655896,1105,1146,1,26.5,1,30,800,service,8,"LINESTRING (-111.9296856 33.4258205, -111.9294006 33.4258213)",walk;bike,1,0,,
,1668,544655896,1146,1105,1,26.5,1,30,800,service,8,"LINESTRING (-111.9294006 33.4258213, -111.9296856 33.4258205)",walk;bike,1,0,,
,1669,544655897,1104,1145,1,27.27,1,30,800,service,8,"LINESTRING (-111.9296985 33.4256440, -111.9294052 33.4256464)",walk;bike,1,0,,
,1670,544655897,1145,1104,1,27.27,1,30,800,service,8,"LINESTRING (-111.9294052 33.4256464, -111.9296985 33.4256440)",walk;bike,1,0,,
,1671,544655898,1103,1144,1,32.84,1,30,800,service,8,"LINESTRING (-111.9297545 33.4254699, -111.9294013 33.4254718)",walk;bike,1,0,,
,1672,544655898,1144,1103,1,32.84,1,30,800,service,8,"LINESTRING (-111.9294013 33.4254718, -111.9297545 33.4254699)",walk;bike,1,0,,
,1673,544655899,1102,1142,1,42.94,1,30,800,service,8,"LINESTRING (-111.9298582 33.4252864, -111.9293963 33.4252821)",walk;bike,1,0,,
,1674,544655899,1142,1102,1,42.94,1,30,800,service,8,"LINESTRING (-111.9293963 33.4252821, -111.9298582 33.4252864)",walk;bike,1,0,,
,1675,544655900,1101,1141,1,52.76,1,30,800,service,8,"LINESTRING (-111.9299552 33.4251267, -111.9299023 33.4251097, -111.9293915 33.4251049)",walk;bike,1,0,,
,1676,544655900,1141,1101,1,52.76,1,30,800,service,8,"LINESTRING (-111.9293915 33.4251049, -111.9299023 33.4251097, -111.9299552 33.4251267)",walk;bike,1,0,,
,1677,544655901,1114,1156,1,86.25,1,30,800,service,8,"LINESTRING (-111.9304090 33.4273349, -111.9303321 33.4273208, -111.9294830 33.4273259)",walk;bike,1,0,,
,1678,544655901,1156,1114,1,86.25,1,30,800,service,8,"LINESTRING (-111.9294830 33.4273259, -111.9303321 33.4273208, -111.9304090 33.4273349)",walk;bike,1,0,,
,1679,544655902,1115,1157,1,81.97,1,30,800,service,8,"LINESTRING (-111.9303644 33.4274764, -111.9294828 33.4274878)",walk;bike,1,0,,
,1680,544655902,1157,1115,1,81.97,1,30,800,service,8,"LINESTRING (-111.9294828 33.4274878, -111.9303644 33.4274764)",walk;bike,1,0,,
,1681,544655903,1116,1158,1,96.72,1,30,800,service,8,"LINESTRING (-111.9305191 33.4276276, -111.9304546 33.4276464, -111.9294825 33.4276521)",walk;bike,1,0,,
,1682,544655903,1158,1116,1,96.72,1,30,800,service,8,"LINESTRING (-111.9294825 33.4276521, -111.9304546 33.4276464, -111.9305191 33.4276276)",walk;bike,1,0,,
,1683,544655904,1117,1159,1,107.03,1,30,800,service,8,"LINESTRING (-111.9306336 33.4278107, -111.9294823 33.4278153)",walk;bike,1,0,,
,1684,544655904,1159,1117,1,107.03,1,30,800,service,8,"LINESTRING (-111.9294823 33.4278153, -111.9306336 33.4278107)",walk;bike,1,0,,
,1685,544655905,70,1160,1,9.81,1,30,800,service,8,"LINESTRING (-111.9292893 33.4279802, -111.9293948 33.4279784)",walk;bike,1,0,,
,1686,544655905,1160,70,1,9.81,1,30,800,service,8,"LINESTRING (-111.9293948 33.4279784, -111.9292893 33.4279802)",walk;bike,1,0,,
,1687,544655905,1160,1161,1,8.18,1,30,800,service,8,"LINESTRING (-111.9293948 33.4279784, -111.9294828 33.4279773)",walk;bike,1,0,,
,1688,544655905,1161,1160,1,8.18,1,30,800,service,8,"LINESTRING (-111.9294828 33.4279773, -111.9293948 33.4279784)",walk;bike,1,0,,
,1689,544655905,1161,1159,1,17.96,1,30,800,service,8,"LINESTRING (-111.9294828 33.4279773, -111.9294823 33.4278153)",walk;bike,1,0,,
,1690,544655905,1159,1161,1,17.96,1,30,800,service,8,"LINESTRING (-111.9294823 33.4278153, -111.9294828 33.4279773)",walk;bike,1,0,,
,1691,544655906,1120,1162,1,16.92,1,30,800,service,8,"LINESTRING (-111.9306331 33.4281502, -111.9306121 33.4283018)",walk;bike,1,0,,
,1692,544655906,1162,1120,1,16.92,1,30,800,service,8,"LINESTRING (-111.9306121 33.4283018, -111.9306331 33.4281502)",walk;bike,1,0,,
,1693,544655906,1162,1163,1,31.13,1,30,800,service,8,"LINESTRING (-111.9306121 33.4283018, -111.9306123 33.4285826)",walk;bike,1,0,,
,1694,544655906,1163,1162,1,31.13,1,30,800,service,8,"LINESTRING (-111.9306123 33.4285826, -111.9306121 33.4283018)",walk;bike,1,0,,
,1695,544655907,1162,1164,1,104.25,1,30,800,service,8,"LINESTRING (-111.9306121 33.4283018, -111.9294907 33.4283092)",walk;bike,1,0,,
,1696,544655907,1164,1162,1,104.25,1,30,800,service,8,"LINESTRING (-111.9294907 33.4283092, -111.9306121 33.4283018)",walk;bike,1,0,,
,1697,544655908,1120,1165,1,106.55,1,30,800,service,8,"LINESTRING (-111.9306331 33.4281502, -111.9294869 33.4281484)",walk;bike,1,0,,
,1698,544655908,1165,1120,1,106.55,1,30,800,service,8,"LINESTRING (-111.9294869 33.4281484, -111.9306331 33.4281502)",walk;bike,1,0,,
,1699,544655909,1119,1161,1,107.87,1,30,800,service,8,"LINESTRING (-111.9306431 33.4279696, -111.9294828 33.4279773)",walk;bike,1,0,,
,1700,544655909,1161,1119,1,107.87,1,30,800,service,8,"LINESTRING (-111.9294828 33.4279773, -111.9306431 33.4279696)",walk;bike,1,0,,
,1701,544655910,1163,1166,1,105.1,1,30,800,service,8,"LINESTRING (-111.9306123 33.4285826, -111.9300635 33.4284814, -111.9295176 33.4284689, -111.9294977 33.4284600)",walk;bike,1,0,,
,1702,544655910,1166,1163,1,105.1,1,30,800,service,8,"LINESTRING (-111.9294977 33.4284600, -111.9295176 33.4284689, -111.9300635 33.4284814, -111.9306123 33.4285826)",walk;bike,1,0,,
,1703,544655911,1163,1167,1,15.02,1,30,800,service,8,"LINESTRING (-111.9306123 33.4285826, -111.9307653 33.4286261)",walk;bike,1,0,,
,1704,544655911,1167,1163,1,15.02,1,30,800,service,8,"LINESTRING (-111.9307653 33.4286261, -111.9306123 33.4285826)",walk;bike,1,0,,
,1705,544655911,1167,1168,1,20.37,1,30,800,service,8,"LINESTRING (-111.9307653 33.4286261, -111.9309739 33.4286825)",walk;bike,1,0,,
,1706,544655911,1168,1167,1,20.37,1,30,800,service,8,"LINESTRING (-111.9309739 33.4286825, -111.9307653 33.4286261)",walk;bike,1,0,,
,1707,544655911,1168,1169,1,17.1,1,30,800,service,8,"LINESTRING (-111.9309739 33.4286825, -111.9311450 33.4287392)",walk;bike,1,0,,
,1708,544655911,1169,1168,1,17.1,1,30,800,service,8,"LINESTRING (-111.9311450 33.4287392, -111.9309739 33.4286825)",walk;bike,1,0,,
,1709,544655911,1169,1170,1,21.61,1,30,800,service,8,"LINESTRING (-111.9311450 33.4287392, -111.9313560 33.4288211)",walk;bike,1,0,,
,1710,544655911,1170,1169,1,21.61,1,30,800,service,8,"LINESTRING (-111.9313560 33.4288211, -111.9311450 33.4287392)",walk;bike,1,0,,
,1711,544655911,1170,792,1,4.88,1,30,800,service,8,"LINESTRING (-111.9313560 33.4288211, -111.9314053 33.4288362)",walk;bike,1,0,,
,1712,544655911,792,1170,1,4.88,1,30,800,service,8,"LINESTRING (-111.9314053 33.4288362, -111.9313560 33.4288211)",walk;bike,1,0,,
,1713,544655911,792,1171,1,13.9,1,30,800,service,8,"LINESTRING (-111.9314053 33.4288362, -111.9315416 33.4288877)",walk;bike,1,0,,
,1714,544655911,1171,792,1,13.9,1,30,800,service,8,"LINESTRING (-111.9315416 33.4288877, -111.9314053 33.4288362)",walk;bike,1,0,,
,1715,544655911,1171,1172,1,22.24,1,30,800,service,8,"LINESTRING (-111.9315416 33.4288877, -111.9317594 33.4289706)",walk;bike,1,0,,
,1716,544655911,1172,1171,1,22.24,1,30,800,service,8,"LINESTRING (-111.9317594 33.4289706, -111.9315416 33.4288877)",walk;bike,1,0,,
,1717,544655911,1172,1173,1,19.59,1,30,800,service,8,"LINESTRING (-111.9317594 33.4289706, -111.9318615 33.4290056, -111.9319574 33.4290307)",walk;bike,1,0,,
,1718,544655911,1173,1172,1,19.59,1,30,800,service,8,"LINESTRING (-111.9319574 33.4290307, -111.9318615 33.4290056, -111.9317594 33.4289706)",walk;bike,1,0,,
,1719,544655911,1173,1128,1,63.38,1,30,800,service,8,"LINESTRING (-111.9319574 33.4290307, -111.9321561 33.4290707, -111.9321571 33.4286704)",walk;bike,1,0,,
